#pixel	img_path			file_path	numCol	numRow	numColToRead	numRowToRead	idCell
[TILEMAP]
32	textures\\map\\Scene3.png	textures\\map\\Scene3.txt	48	12	7	8	0

# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Simon.png	255	0	255
10	textures\SmallCandle.png	255	0	255
20	textures\WHIP.png	255	0	255
30	textures\Effect.png	255	0	255
40	textures\Simon-2.png	255	0	255
50	textures\WHIP-2.png	255	0	255
60	textures\item\Dagger.png	255	0	255
80	textures\weapon\Dagger.png	255	0	255
90	textures\weapon\Axe.png	255	0	255
100	textures\item\LargeHeart.png	255	0	255
101	textures\item\Chain.png	255	0	255
102	textures\weapon\Boomerang.png	255	0	255
103	textures\weapon\HolyWater.png	255	0	255
104	textures\item\HP.png	255	0	255
105	textures\item\Rect.png	255	0	255
106	textures\enemies-left.png	255	0	255
107	textures\enemies2-left.png	255	0	255
108	textures\enemies2-right.png	255	0	255
110	textures\item\SmallHeart.png	255	0	255
111	textures\item\money.png	255	0	255
112	textures\wall.png	255	0	255
113	textures\item\TripleShot.png	255	0	255
114	textures\item\HolyWater.png	255	0	255
115	textures\weapon\WhiteBone.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# SIMON 
#idle left
10001	0	0	60	64	0
#walk left
10011	0	0	60	64	0
10012	60	0	120	64	0
10013	120	0	180	64	0
10014	180	0	240	64	0
#sit left
10021	300	198	360	262	0
#jump left
10031	240	0	300	64	0
#hit stand left
10041	300	0	360	64	0
10042	360	0	420	64	0
10043	420	0	480	64	0
#hit sit left
10051	420	66	480	130	0
10052	0	132	60	196	0
10053	60	132	120	196	0
#idle right
10061	420	0	480	64	40
#walk right
10071	420	0	480	64	40
10072	360	0	420	64	40
10073	300	0	360	64	40
10074	240	0	300	64	40
#sit right
10081	120	198	180	262	40
#jump right
10091	180	0	240	64	40
#hit stand right
10101	120	0	180	64	40
10102	60	0	120	64	40
10103	0	0	60	64	40
#hit sit right
10111	0	66	60	130	40
10112	420	132	480	196	40
10113	360	132	420	196	40
#get item left
10121	120	198	180	262	0
10122	60	198	120	262	0
10123	0	198	60	262	0
#get item right
10131	300	198	360	262	40
10132	360	198	420	262	40
10133	420	198	480	262	0
#go upstair right
10141	180	64	240	128	40
10142	120	64	180	128	40
#go upstair left
10151	240	64	300	128	0
10152	300	64	360	128	0
#hit upstair right
10161	120	132	180	196	40
10162	60	132	120	196	40
10163	0	132	60	196	40	
#hit upstair left
10171	300	132	360	196	0
10172	360	132	420	196	0
10173	420	132	480	196	0
#go down stair right
10181	300	64	360	128	40
10182	240	64	300	128	40
#go down stair left
10191	180	64	240	128	0
10192	120	64	180	128	0
#hit down stair right
10201	300	132	360	196	40
10202	240	132	300	196	40
10203	180	132	240	196	40 
#hit down stair left
10211	120	132	180	196	0
10212	180	132	240	196	0
10213	240	132	300	196	0
#stand on upstair right
10311	180	64	240	128	40
#stand on upstair left
10411	240	64	300	128	0
